Metric,Generated,CompareTo,Matches,Detail
RowCount,3844,55806,False,
ColumnOrder,"Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection","Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection",True,
KeySet,3844,55806,False,overlap=0
MeanSignedNormalizedReturn,0.0023674736123276683,-0.017831182785600207,False,
MedianSignedNormalizedReturn,-0.032941358844893256,0.0,False,
DominantPressureCount:CompressionPressure,2587,35690,False,
DominantPressureCount:DirectionalReleasePressure,147,2148,False,
DominantPressureCount:RotationalPressure,1110,17968,False,
CandidateCount:Base_ES_NQ,213,1672,False,
CandidateCount:RRCCC,9,256,False,
CandidateCount:CCRRR,3,129,False,
CandidateCount:PriorSlope_DominantPressureValue_Q3,36,397,False,
