Metric,Generated,CompareTo,Matches,Detail
RowCount,6179,55806,False,
ColumnOrder,"Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection","Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection",True,
KeySet,6179,55806,False,overlap=0
MeanSignedNormalizedReturn,-0.0765434318009736,-0.017831182785600207,False,
MedianSignedNormalizedReturn,0.0,0.0,True,
DominantPressureCount:CompressionPressure,4064,35690,False,
DominantPressureCount:DirectionalReleasePressure,265,2148,False,
DominantPressureCount:RotationalPressure,1850,17968,False,
CandidateCount:Base_ES_NQ,350,1672,False,
CandidateCount:RRCCC,12,256,False,
CandidateCount:CCRRR,3,129,False,
CandidateCount:PriorSlope_DominantPressureValue_Q3,61,397,False,
