Metric,Generated,CompareTo,Matches,Detail
RowCount,6156,55806,False,
ColumnOrder,"Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection","Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection",True,
KeySet,6156,55806,False,overlap=0
MeanSignedNormalizedReturn,-0.027441956495127953,-0.017831182785600207,False,
MedianSignedNormalizedReturn,0.0,0.0,True,
DominantPressureCount:CompressionPressure,4116,35690,False,
DominantPressureCount:DirectionalReleasePressure,272,2148,False,
DominantPressureCount:RotationalPressure,1768,17968,False,
CandidateCount:Base_ES_NQ,351,1672,False,
CandidateCount:RRCCC,17,256,False,
CandidateCount:CCRRR,7,129,False,
CandidateCount:PriorSlope_DominantPressureValue_Q3,81,397,False,
