Metric,Generated,CompareTo,Matches,Detail
RowCount,5901,55806,False,
ColumnOrder,"Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection","Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection",True,
KeySet,5901,55806,False,overlap=0
MeanSignedNormalizedReturn,-0.017532270905996412,-0.017831182785600207,False,
MedianSignedNormalizedReturn,0.0,0.0,True,
DominantPressureCount:CompressionPressure,3781,35690,False,
DominantPressureCount:DirectionalReleasePressure,211,2148,False,
DominantPressureCount:RotationalPressure,1909,17968,False,
CandidateCount:Base_ES_NQ,372,1672,False,
CandidateCount:RRCCC,14,256,False,
CandidateCount:CCRRR,6,129,False,
CandidateCount:PriorSlope_DominantPressureValue_Q3,84,397,False,
