Metric,Generated,CompareTo,Matches,Detail
RowCount,6364,55806,False,
ColumnOrder,"Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection","Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection",True,
KeySet,6364,55806,False,overlap=0
MeanSignedNormalizedReturn,0.04818458100961493,-0.017831182785600207,False,
MedianSignedNormalizedReturn,0.03501508222243845,0.0,False,
DominantPressureCount:CompressionPressure,3877,35690,False,
DominantPressureCount:DirectionalReleasePressure,334,2148,False,
DominantPressureCount:RotationalPressure,2153,17968,False,
CandidateCount:Base_ES_NQ,368,1672,False,
CandidateCount:RRCCC,20,256,False,
CandidateCount:CCRRR,4,129,False,
CandidateCount:PriorSlope_DominantPressureValue_Q3,70,397,False,
