Metric,Generated,CompareTo,Matches,Detail
RowCount,13373,55806,False,
ColumnOrder,"Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection","Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection",True,
KeySet,6375,55806,False,overlap=0
MeanSignedNormalizedReturn,-0.015127545663805479,-0.017831182785600207,False,
MedianSignedNormalizedReturn,0.029914529914529912,0.0,False,
DominantPressureCount:CompressionPressure,8589,35690,False,
DominantPressureCount:DirectionalReleasePressure,566,2148,False,
DominantPressureCount:RotationalPressure,4218,17968,False,
CandidateCount:Base_ES_NQ,461,1672,False,
CandidateCount:RRCCC,4,256,False,
CandidateCount:CCRRR,5,129,False,
CandidateCount:PriorSlope_DominantPressureValue_Q3,75,397,False,
